occurrenceID,countryCode,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,numberOfRoadkill,year,month,day,roadID,roadType,surveyType,roadLength,initialRoadLatitude,initialRoadLongitude,finalRoadLatitude,finalRoadLongitude,surveyPeriod,startYear,finalYear,firstMonthOfTheYear,lastMonthOfTheYear,surveyFrequency,associatedReferences
4cd040db-92b4-4ed7-b496-abc75f2ce67c,BR,Brazil,Ribas do Rio Pardo,-20.4489,-53.3169,WGS84,30,Tapirus terrestris,1,2017,9,25,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
77ea49aa-8b28-41f1-b5f8-fe58113e1827,BR,Brazil,Ribas do Rio Pardo,-20.4501,-53.3224,WGS84,30,Tapirus terrestris,1,2018,8,13,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
26c6d50f-91bf-4296-aa8d-d085c3bd70c0,BR,Brazil,Ribas do Rio Pardo,-20.4504,-53.3233,WGS84,30,Tapirus terrestris,1,2017,7,24,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
87ac894e-df67-4d5b-a17a-37a03aa82faa,BR,Brazil,Terenos,-20.4507,-55.1647,WGS84,30,Tapirus terrestris,1,2019,7,2,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
6ef5090b-283b-494e-a464-0d551bd5be77,BR,Brazil,Ribas do Rio Pardo,-20.4515,-53.3295,WGS84,30,Tapirus terrestris,1,2018,8,31,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
4533392f-2bbf-40eb-88c2-69a5954753a8,BR,Brazil,Terenos,-20.4521,-55.2474,WGS84,30,Tapirus terrestris,1,2019,11,18,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
2342e6b2-1e8d-49c9-98a6-909fa019035f,BR,Brazil,Terenos,-20.4539,-55.1742,WGS84,30,Tapirus terrestris,1,2018,5,25,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
363b0cd4-f759-4f71-a8ec-9edad969cda8,BR,Brazil,Terenos,-20.4547,-55.258,WGS84,30,Tapirus terrestris,1,2018,12,4,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
539eef8f-4a6a-4241-b16c-4fc727176c77,BR,Brazil,Ribas do Rio Pardo,-20.4548,-53.8039,WGS84,30,Tapirus terrestris,1,2018,7,31,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
00585f5c-52ed-46c0-9739-6c121286aea4,BR,Brazil,Ribas do Rio Pardo,-20.455,-53.0146,WGS84,30,Tapirus terrestris,1,2018,6,5,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
