hour,Biome,individual_local_identifier,count,individual_name
2.0,Pantanal,PA_68_FAROFO,2.0,FAROFO
2.0,Pantanal,PA_69_ANGELINA,2.0,ANGELINA
2.0,Pantanal,PA_71_SIDNEY,2.0,SIDNEY
2.0,Pantanal,PA_74_LAURO,2.0,LAURO
2.0,Pantanal,PA_82_DONNA,2.0,DONNA
2.0,Pantanal,PA_86_CUZINHO,2.0,CUZINHO
3.0,Atlantic Forest,AF_01_JOANA,3.0,JOANA
3.0,Atlantic Forest,AF_02_PAULETE,3.0,PAULETE
3.0,Atlantic Forest,AF_05_CHUCHU,3.0,CHUCHU
3.0,Atlantic Forest,AF_12_PATRICIA,3.0,PATRICIA
3.0,Atlantic Forest,AF_14_JAMESBOND,3.0,JAMESBOND
3.0,Atlantic Forest,AF_15_GEORGETE,3.0,GEORGETE
3.0,Atlantic Forest,AF_20_CHICO,3.0,CHICO
3.0,Atlantic Forest,AF_23_TONHA,3.0,TONHA
3.0,Atlantic Forest,AF_24_TINA,3.0,TINA
3.0,Atlantic Forest,AF_25_MAMA,3.0,MAMA
3.0,Cerrado,CE_03_LOU,3.0,LOU
3.0,Cerrado,CE_04_TITI,3.0,TITI
3.0,Cerrado,CE_08_COLOMBINA,3.0,COLOMBINA
3.0,Cerrado,CE_09_PANA,3.0,PANA
3.0,Cerrado,CE_10_ELIS,3.0,ELIS
3.0,Cerrado,CE_11_ZACA,3.0,ZACA
3.0,Cerrado,CE_13_SULI,3.0,SULI
3.0,Cerrado,CE_15_KURUKA,3.0,KURUKA
3.0,Cerrado,CE_17_ARNO,3.0,ARNO
3.0,Cerrado,CE_21_ZEMARIA,3.0,ZEMARIA
3.0,Cerrado,CE_22_ZEFA,3.0,ZEFA
3.0,Cerrado,CE_23_CARABI,3.0,CARABI
3.0,Cerrado,CE_25_SEGRE,3.0,SEGRE
3.0,Cerrado,CE_27_DONALINA,3.0,DONALINA
3.0,Cerrado,CE_28_ZIGGY,3.0,ZIGGY
3.0,Cerrado,CE_31_ANNA,3.0,ANNA
3.0,Cerrado,CE_34_DONACIDA,3.0,DONACIDA
3.0,Pantanal,PA_03_BANDAID,3.0,BANDAID
3.0,Pantanal,PA_05_KELLY,3.0,KELLY
3.0,Pantanal,PA_08_BENJAMIN,3.0,BENJAMIN
3.0,Pantanal,PA_09_SONIAMADALENA,3.0,SONIAMADALENA
3.0,Pantanal,PA_10_VIVEK,3.0,VIVEK
3.0,Pantanal,PA_11_LUIS,3.0,LUIS
3.0,Pantanal,PA_12_FELIPPE,3.0,FELIPPE
3.0,Pantanal,PA_13_RITA,3.0,RITA
3.0,Pantanal,PA_15_MORENA,3.0,MORENA
3.0,Pantanal,PA_16_DORA,3.0,DORA
3.0,Pantanal,PA_18_NIC,3.0,NIC
3.0,Pantanal,PA_19_SERGIAO,3.0,SERGIAO
3.0,Pantanal,PA_20_SY,3.0,SY
3.0,Pantanal,PA_21_CAIO,3.0,CAIO
3.0,Pantanal,PA_22_EMILIO,3.0,EMILIO
3.0,Pantanal,PA_23_RICK,3.0,RICK
3.0,Pantanal,PA_24_LESLIE,3.0,LESLIE
3.0,Pantanal,PA_26_SACHIN,3.0,SACHIN
3.0,Pantanal,PA_28_DUDA,3.0,DUDA
3.0,Pantanal,PA_29_KARIN,3.0,KARIN
3.0,Pantanal,PA_30_NELSAO,3.0,NELSAO
3.0,Pantanal,PA_31_JORDANO,3.0,JORDANO
3.0,Pantanal,PA_33_GABRIELA,3.0,GABRIELA
3.0,Pantanal,PA_34_CARIJO,3.0,CARIJO
3.0,Pantanal,PA_36_MICHELE,3.0,MICHELE
3.0,Pantanal,PA_38_CASSANDRA,3.0,CASSANDRA
3.0,Pantanal,PA_40_MALU,3.0,MALU
3.0,Pantanal,PA_47_MORENINHO,3.0,MORENINHO
3.0,Pantanal,PA_48_TED,3.0,TED
3.0,Pantanal,PA_49_WALLY,3.0,WALLY
3.0,Pantanal,PA_51_MUCCI,3.0,MUCCI
3.0,Pantanal,PA_52_WIE,3.0,WIE
3.0,Pantanal,PA_54_PAULONA,3.0,PAULONA
3.0,Pantanal,PA_58_LIANA,3.0,LIANA
3.0,Pantanal,PA_59_POPEYE,3.0,POPEYE
3.0,Pantanal,PA_61_DOINHO,3.0,DOINHO
3.0,Pantanal,PA_62_PRETINHO,3.0,PRETINHO
3.0,Pantanal,PA_64_COLUMBUS,3.0,COLUMBUS
3.0,Pantanal,PA_65_VALENTINA,3.0,VALENTINA
3.0,Pantanal,PA_67_CARMINHA,3.0,CARMINHA
3.0,Pantanal,PA_68_FAROFO,3.0,FAROFO
3.0,Pantanal,PA_69_ANGELINA,3.0,ANGELINA
3.0,Pantanal,PA_71_SIDNEY,3.0,SIDNEY
3.0,Pantanal,PA_74_LAURO,3.0,LAURO
3.0,Pantanal,PA_82_DONNA,3.0,DONNA
3.0,Pantanal,PA_86_CUZINHO,3.0,CUZINHO
4.0,Atlantic Forest,AF_01_JOANA,4.0,JOANA
4.0,Atlantic Forest,AF_02_PAULETE,4.0,PAULETE
4.0,Atlantic Forest,AF_05_CHUCHU,4.0,CHUCHU
4.0,Atlantic Forest,AF_12_PATRICIA,4.0,PATRICIA
4.0,Atlantic Forest,AF_14_JAMESBOND,4.0,JAMESBOND
4.0,Atlantic Forest,AF_15_GEORGETE,4.0,GEORGETE
4.0,Atlantic Forest,AF_20_CHICO,4.0,CHICO
4.0,Atlantic Forest,AF_23_TONHA,4.0,TONHA
4.0,Atlantic Forest,AF_24_TINA,4.0,TINA
4.0,Atlantic Forest,AF_25_MAMA,4.0,MAMA
4.0,Cerrado,CE_03_LOU,4.0,LOU
4.0,Cerrado,CE_04_TITI,4.0,TITI
4.0,Cerrado,CE_08_COLOMBINA,4.0,COLOMBINA
4.0,Cerrado,CE_09_PANA,4.0,PANA
4.0,Cerrado,CE_10_ELIS,4.0,ELIS
4.0,Cerrado,CE_11_ZACA,4.0,ZACA
4.0,Cerrado,CE_13_SULI,4.0,SULI
4.0,Cerrado,CE_15_KURUKA,4.0,KURUKA
4.0,Cerrado,CE_17_ARNO,4.0,ARNO
4.0,Cerrado,CE_21_ZEMARIA,4.0,ZEMARIA
4.0,Cerrado,CE_22_ZEFA,4.0,ZEFA
4.0,Cerrado,CE_23_CARABI,4.0,CARABI
4.0,Cerrado,CE_25_SEGRE,4.0,SEGRE
4.0,Cerrado,CE_27_DONALINA,4.0,DONALINA
4.0,Cerrado,CE_28_ZIGGY,4.0,ZIGGY
4.0,Cerrado,CE_31_ANNA,4.0,ANNA
4.0,Cerrado,CE_34_DONACIDA,4.0,DONACIDA
4.0,Pantanal,PA_03_BANDAID,4.0,BANDAID
4.0,Pantanal,PA_05_KELLY,4.0,KELLY
4.0,Pantanal,PA_08_BENJAMIN,4.0,BENJAMIN
4.0,Pantanal,PA_09_SONIAMADALENA,4.0,SONIAMADALENA
4.0,Pantanal,PA_10_VIVEK,4.0,VIVEK
4.0,Pantanal,PA_11_LUIS,4.0,LUIS
4.0,Pantanal,PA_12_FELIPPE,4.0,FELIPPE
4.0,Pantanal,PA_13_RITA,4.0,RITA
4.0,Pantanal,PA_15_MORENA,4.0,MORENA
4.0,Pantanal,PA_16_DORA,4.0,DORA
4.0,Pantanal,PA_18_NIC,4.0,NIC
4.0,Pantanal,PA_19_SERGIAO,4.0,SERGIAO
4.0,Pantanal,PA_20_SY,4.0,SY
4.0,Pantanal,PA_21_CAIO,4.0,CAIO
4.0,Pantanal,PA_22_EMILIO,4.0,EMILIO
4.0,Pantanal,PA_23_RICK,4.0,RICK
4.0,Pantanal,PA_24_LESLIE,4.0,LESLIE
4.0,Pantanal,PA_26_SACHIN,4.0,SACHIN
4.0,Pantanal,PA_28_DUDA,4.0,DUDA
4.0,Pantanal,PA_29_KARIN,4.0,KARIN
4.0,Pantanal,PA_30_NELSAO,4.0,NELSAO
4.0,Pantanal,PA_31_JORDANO,4.0,JORDANO
4.0,Pantanal,PA_33_GABRIELA,4.0,GABRIELA
4.0,Pantanal,PA_34_CARIJO,4.0,CARIJO
4.0,Pantanal,PA_36_MICHELE,4.0,MICHELE
4.0,Pantanal,PA_38_CASSANDRA,4.0,CASSANDRA
4.0,Pantanal,PA_40_MALU,4.0,MALU
4.0,Pantanal,PA_47_MORENINHO,4.0,MORENINHO
4.0,Pantanal,PA_48_TED,4.0,TED
4.0,Pantanal,PA_49_WALLY,4.0,WALLY
4.0,Pantanal,PA_51_MUCCI,4.0,MUCCI
4.0,Pantanal,PA_52_WIE,4.0,WIE
4.0,Pantanal,PA_54_PAULONA,4.0,PAULONA
4.0,Pantanal,PA_58_LIANA,4.0,LIANA
4.0,Pantanal,PA_59_POPEYE,4.0,POPEYE
4.0,Pantanal,PA_61_DOINHO,4.0,DOINHO
4.0,Pantanal,PA_62_PRETINHO,4.0,PRETINHO
4.0,Pantanal,PA_64_COLUMBUS,4.0,COLUMBUS
4.0,Pantanal,PA_65_VALENTINA,4.0,VALENTINA
4.0,Pantanal,PA_67_CARMINHA,4.0,CARMINHA
4.0,Pantanal,PA_68_FAROFO,4.0,FAROFO
4.0,Pantanal,PA_69_ANGELINA,4.0,ANGELINA
4.0,Pantanal,PA_71_SIDNEY,4.0,SIDNEY
4.0,Pantanal,PA_74_LAURO,4.0,LAURO
4.0,Pantanal,PA_82_DONNA,4.0,DONNA
4.0,Pantanal,PA_86_CUZINHO,4.0,CUZINHO
5.0,Atlantic Forest,AF_01_JOANA,5.0,JOANA
5.0,Atlantic Forest,AF_02_PAULETE,5.0,PAULETE
5.0,Atlantic Forest,AF_05_CHUCHU,5.0,CHUCHU
5.0,Atlantic Forest,AF_12_PATRICIA,5.0,PATRICIA
5.0,Atlantic Forest,AF_14_JAMESBOND,5.0,JAMESBOND
5.0,Atlantic Forest,AF_15_GEORGETE,5.0,GEORGETE
5.0,Atlantic Forest,AF_17_ESPERTA,5.0,ESPERTA
5.0,Atlantic Forest,AF_20_CHICO,5.0,CHICO
5.0,Atlantic Forest,AF_23_TONHA,5.0,TONHA
5.0,Atlantic Forest,AF_24_TINA,5.0,TINA
5.0,Atlantic Forest,AF_25_MAMA,5.0,MAMA
