individual_local_identifier,Biome,hour,count,unique_days,average,individual_name
PA_31_JORDANO,Pantanal,1.0,16,16,1.0,JORDANO
PA_31_JORDANO,Pantanal,2.0,18,17,1.0588235294117647,JORDANO
PA_31_JORDANO,Pantanal,3.0,20,19,1.0526315789473684,JORDANO
PA_31_JORDANO,Pantanal,4.0,22,21,1.0476190476190477,JORDANO
PA_31_JORDANO,Pantanal,5.0,22,20,1.1,JORDANO
PA_31_JORDANO,Pantanal,6.0,19,17,1.1176470588235294,JORDANO
PA_31_JORDANO,Pantanal,7.0,8,8,1.0,JORDANO
PA_31_JORDANO,Pantanal,8.0,7,7,1.0,JORDANO
PA_31_JORDANO,Pantanal,9.0,13,13,1.0,JORDANO
PA_31_JORDANO,Pantanal,10.0,4,4,1.0,JORDANO
PA_31_JORDANO,Pantanal,12.0,1,1,1.0,JORDANO
PA_31_JORDANO,Pantanal,13.0,2,2,1.0,JORDANO
PA_31_JORDANO,Pantanal,14.0,1,1,1.0,JORDANO
PA_31_JORDANO,Pantanal,15.0,5,4,1.25,JORDANO
PA_31_JORDANO,Pantanal,16.0,5,5,1.0,JORDANO
PA_31_JORDANO,Pantanal,17.0,10,10,1.0,JORDANO
PA_31_JORDANO,Pantanal,18.0,36,36,1.0,JORDANO
PA_31_JORDANO,Pantanal,19.0,41,37,1.1081081081081081,JORDANO
PA_31_JORDANO,Pantanal,20.0,33,27,1.2222222222222223,JORDANO
PA_31_JORDANO,Pantanal,21.0,14,14,1.0,JORDANO
PA_31_JORDANO,Pantanal,22.0,22,21,1.0476190476190477,JORDANO
PA_31_JORDANO,Pantanal,23.0,24,21,1.1428571428571428,JORDANO
PA_33_GABRIELA,Pantanal,0.0,23,23,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,1.0,24,24,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,2.0,24,24,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,3.0,28,28,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,4.0,34,34,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,5.0,32,32,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,6.0,28,28,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,7.0,25,25,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,8.0,20,20,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,9.0,30,30,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,10.0,27,27,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,11.0,34,34,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,12.0,30,30,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,13.0,36,36,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,14.0,32,32,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,15.0,36,36,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,16.0,32,32,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,17.0,34,34,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,18.0,36,36,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,19.0,37,37,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,20.0,35,35,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,21.0,30,30,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,22.0,26,26,1.0,GABRIELA
PA_33_GABRIELA,Pantanal,23.0,29,29,1.0,GABRIELA
PA_34_CARIJO,Pantanal,0.0,429,429,1.0,CARIJO
PA_34_CARIJO,Pantanal,1.0,477,477,1.0,CARIJO
PA_34_CARIJO,Pantanal,2.0,451,451,1.0,CARIJO
PA_34_CARIJO,Pantanal,3.0,473,473,1.0,CARIJO
PA_34_CARIJO,Pantanal,4.0,425,425,1.0,CARIJO
PA_34_CARIJO,Pantanal,5.0,467,467,1.0,CARIJO
PA_34_CARIJO,Pantanal,6.0,395,395,1.0,CARIJO
PA_34_CARIJO,Pantanal,7.0,459,459,1.0,CARIJO
PA_34_CARIJO,Pantanal,8.0,447,447,1.0,CARIJO
PA_34_CARIJO,Pantanal,9.0,482,482,1.0,CARIJO
PA_34_CARIJO,Pantanal,10.0,450,450,1.0,CARIJO
PA_34_CARIJO,Pantanal,11.0,482,482,1.0,CARIJO
PA_34_CARIJO,Pantanal,12.0,452,452,1.0,CARIJO
PA_34_CARIJO,Pantanal,13.0,464,464,1.0,CARIJO
PA_34_CARIJO,Pantanal,14.0,420,420,1.0,CARIJO
PA_34_CARIJO,Pantanal,15.0,459,459,1.0,CARIJO
PA_34_CARIJO,Pantanal,16.0,428,428,1.0,CARIJO
PA_34_CARIJO,Pantanal,17.0,477,477,1.0,CARIJO
PA_34_CARIJO,Pantanal,18.0,420,420,1.0,CARIJO
PA_34_CARIJO,Pantanal,19.0,500,500,1.0,CARIJO
PA_34_CARIJO,Pantanal,20.0,409,409,1.0,CARIJO
PA_34_CARIJO,Pantanal,21.0,456,456,1.0,CARIJO
PA_34_CARIJO,Pantanal,22.0,426,426,1.0,CARIJO
PA_34_CARIJO,Pantanal,23.0,471,471,1.0,CARIJO
PA_36_MICHELE,Pantanal,0.0,41,41,1.0,MICHELE
PA_36_MICHELE,Pantanal,1.0,43,43,1.0,MICHELE
PA_36_MICHELE,Pantanal,2.0,47,47,1.0,MICHELE
PA_36_MICHELE,Pantanal,3.0,43,43,1.0,MICHELE
PA_36_MICHELE,Pantanal,4.0,51,51,1.0,MICHELE
PA_36_MICHELE,Pantanal,5.0,51,51,1.0,MICHELE
PA_36_MICHELE,Pantanal,6.0,43,43,1.0,MICHELE
PA_36_MICHELE,Pantanal,7.0,36,36,1.0,MICHELE
PA_36_MICHELE,Pantanal,8.0,43,43,1.0,MICHELE
PA_36_MICHELE,Pantanal,9.0,44,44,1.0,MICHELE
PA_36_MICHELE,Pantanal,10.0,53,53,1.0,MICHELE
PA_36_MICHELE,Pantanal,11.0,54,54,1.0,MICHELE
PA_36_MICHELE,Pantanal,12.0,53,53,1.0,MICHELE
PA_36_MICHELE,Pantanal,13.0,55,55,1.0,MICHELE
PA_36_MICHELE,Pantanal,14.0,54,54,1.0,MICHELE
PA_36_MICHELE,Pantanal,15.0,53,53,1.0,MICHELE
PA_36_MICHELE,Pantanal,16.0,57,57,1.0,MICHELE
PA_36_MICHELE,Pantanal,17.0,53,53,1.0,MICHELE
PA_36_MICHELE,Pantanal,18.0,40,40,1.0,MICHELE
PA_36_MICHELE,Pantanal,19.0,50,50,1.0,MICHELE
PA_36_MICHELE,Pantanal,20.0,48,48,1.0,MICHELE
PA_36_MICHELE,Pantanal,21.0,45,45,1.0,MICHELE
PA_36_MICHELE,Pantanal,22.0,45,45,1.0,MICHELE
PA_36_MICHELE,Pantanal,23.0,42,42,1.0,MICHELE
PA_38_CASSANDRA,Pantanal,0.0,13,12,1.0833333333333333,CASSANDRA
PA_38_CASSANDRA,Pantanal,1.0,13,12,1.0833333333333333,CASSANDRA
PA_38_CASSANDRA,Pantanal,2.0,12,11,1.0909090909090908,CASSANDRA
PA_38_CASSANDRA,Pantanal,3.0,9,8,1.125,CASSANDRA
PA_38_CASSANDRA,Pantanal,4.0,10,10,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,5.0,13,12,1.0833333333333333,CASSANDRA
PA_38_CASSANDRA,Pantanal,6.0,9,9,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,7.0,2,2,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,8.0,4,4,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,9.0,12,12,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,10.0,2,2,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,16.0,2,2,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,17.0,5,5,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,18.0,9,9,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,19.0,16,14,1.1428571428571428,CASSANDRA
PA_38_CASSANDRA,Pantanal,20.0,22,17,1.2941176470588236,CASSANDRA
PA_38_CASSANDRA,Pantanal,21.0,6,6,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,22.0,14,14,1.0,CASSANDRA
PA_38_CASSANDRA,Pantanal,23.0,9,8,1.125,CASSANDRA
PA_40_MALU,Pantanal,0.0,540,540,1.0,MALU
