hour,Biome,individual_local_identifier,count,radian,individual_name
15,Pantanal,PA_58_LIANA,221,3.926990816987241,LIANA
15,Pantanal,PA_59_POPEYE,94,3.926990816987241,POPEYE
15,Pantanal,PA_61_DOINHO,124,3.926990816987241,DOINHO
15,Pantanal,PA_62_PRETINHO,22,3.926990816987241,PRETINHO
15,Pantanal,PA_64_COLUMBUS,4,3.926990816987241,COLUMBUS
15,Pantanal,PA_65_VALENTINA,81,3.926990816987241,VALENTINA
15,Pantanal,PA_67_CARMINHA,27,3.926990816987241,CARMINHA
15,Pantanal,PA_68_FAROFO,271,3.926990816987241,FAROFO
15,Pantanal,PA_69_ANGELINA,123,3.926990816987241,ANGELINA
15,Pantanal,PA_71_SIDNEY,49,3.926990816987241,SIDNEY
15,Pantanal,PA_74_LAURO,153,3.926990816987241,LAURO
15,Pantanal,PA_82_DONNA,46,3.926990816987241,DONNA
15,Pantanal,PA_86_CUZINHO,223,3.926990816987241,CUZINHO
16,Atlantic Forest,AF_01_JOANA,18,4.1887902047863905,JOANA
16,Atlantic Forest,AF_02_PAULETE,8,4.1887902047863905,PAULETE
16,Atlantic Forest,AF_05_CHUCHU,6,4.1887902047863905,CHUCHU
16,Atlantic Forest,AF_12_PATRICIA,2,4.1887902047863905,PATRICIA
16,Atlantic Forest,AF_14_JAMESBOND,3,4.1887902047863905,JAMESBOND
16,Atlantic Forest,AF_15_GEORGETE,1,4.1887902047863905,GEORGETE
16,Atlantic Forest,AF_17_ESPERTA,6,4.1887902047863905,ESPERTA
16,Atlantic Forest,AF_20_CHICO,7,4.1887902047863905,CHICO
16,Atlantic Forest,AF_23_TONHA,5,4.1887902047863905,TONHA
16,Atlantic Forest,AF_25_MAMA,2,4.1887902047863905,MAMA
16,Cerrado,CE_03_LOU,470,4.1887902047863905,LOU
16,Cerrado,CE_04_TITI,180,4.1887902047863905,TITI
16,Cerrado,CE_08_COLOMBINA,4,4.1887902047863905,COLOMBINA
16,Cerrado,CE_09_PANA,4,4.1887902047863905,PANA
16,Cerrado,CE_11_ZACA,96,4.1887902047863905,ZACA
16,Cerrado,CE_13_SULI,43,4.1887902047863905,SULI
16,Cerrado,CE_15_KURUKA,66,4.1887902047863905,KURUKA
16,Cerrado,CE_17_ARNO,231,4.1887902047863905,ARNO
