individual,hour,distance_meters,distance_km,num_points,distance_per_point
CE_03_LOU,11,338720.0297053346,338.7200297053346,480,705.6667285527803
CE_03_LOU,12,332156.694422132,332.156694422132,465,714.3154718755527
CE_03_LOU,13,330730.1138278338,330.7301138278338,466,709.7212743086562
CE_03_LOU,14,324027.85752294614,324.02785752294614,454,713.717747847899
CE_03_LOU,15,341286.3807192599,341.2863807192599,465,733.9492058478708
CE_03_LOU,16,345460.5899809768,345.46058998097675,470,735.0225318744186
CE_03_LOU,17,354361.47806284565,354.36147806284566,469,755.5681835028691
CE_03_LOU,18,436765.1774346945,436.76517743469446,491,889.5421129016181
CE_03_LOU,19,512116.1053103768,512.1161053103768,502,1020.1516042039378
CE_03_LOU,20,562401.3062657954,562.4013062657954,493,1140.7734407014104
CE_03_LOU,21,628649.2681194051,628.6492681194052,508,1237.4985592901676
CE_03_LOU,22,605867.6327545656,605.8676327545655,486,1246.6412196596
CE_03_LOU,23,640518.1725593167,640.5181725593168,502,1275.9326146599935
CE_04_TITI,0,366487.7530358945,366.48775303589446,194,1889.1121290510025
CE_04_TITI,1,386905.9225361017,386.90592253610174,198,1954.0703158388976
CE_04_TITI,2,368407.25237890525,368.40725237890524,191,1928.8337820885092
CE_04_TITI,3,394267.6337433988,394.26763374339885,203,1942.205092332014
CE_04_TITI,4,374033.8947112483,374.0338947112483,198,1889.0600742992337
CE_04_TITI,5,342528.0583884663,342.5280583884663,193,1774.7567792148513
CE_04_TITI,6,290794.3017560512,290.7943017560512,181,1606.5983522433767
CE_04_TITI,7,261399.03781966452,261.3990378196645,173,1510.9770972234944
CE_04_TITI,8,261757.94474869507,261.7579447486951,175,1495.7596842782575
CE_04_TITI,9,264687.7128450438,264.6877128450438,180,1470.4872935835767
CE_04_TITI,10,274347.28377758473,274.3472837775847,184,1491.0178466173084
CE_04_TITI,11,262878.6570442003,262.8786570442003,182,1444.388225517584
CE_04_TITI,12,239945.91506934265,239.94591506934265,176,1363.3290628939924
CE_04_TITI,13,243509.60128080862,243.50960128080862,181,1345.3569131536387
CE_04_TITI,14,247456.88161282448,247.45688161282447,170,1455.6287153695557
CE_04_TITI,15,268001.52764777135,268.00152764777135,177,1514.13292456368
CE_04_TITI,16,265115.2324399384,265.1152324399384,180,1472.8624024441024
CE_04_TITI,17,263707.9671014656,263.7079671014656,185,1425.448470818733
CE_04_TITI,18,319913.62179192883,319.91362179192885,187,1710.7680309728814
CE_04_TITI,19,377168.1191939722,377.1681191939722,199,1895.3171818792573
CE_04_TITI,20,368926.7700964633,368.9267700964633,195,1891.9321543408375
CE_04_TITI,21,369233.249697337,369.233249697337,197,1874.2804553164315
CE_04_TITI,22,347190.51944222156,347.19051944222156,192,1808.2839554282373
CE_04_TITI,23,354561.75751655444,354.56175751655445,186,1906.2460081535185
CE_08_COLOMBINA,0,22126.929763650278,22.126929763650278,23,962.0404245065338
CE_08_COLOMBINA,1,14639.079564748525,14.639079564748524,15,975.9386376499017
CE_08_COLOMBINA,2,13086.062267267951,13.086062267267952,15,872.4041511511967
CE_08_COLOMBINA,3,28840.248479694554,28.840248479694555,26,1109.2403261420982
CE_08_COLOMBINA,4,50507.08264230999,50.507082642309996,52,971.2900508136537
CE_08_COLOMBINA,5,43374.15296567854,43.37415296567854,53,818.3802446354442
CE_08_COLOMBINA,6,30078.00324899439,30.078003248994392,33,911.454643908921
CE_08_COLOMBINA,7,12434.83889474873,12.43483889474873,15,828.9892596499153
CE_08_COLOMBINA,8,3093.7287990722352,3.093728799072235,4,773.4321997680588
CE_08_COLOMBINA,9,3065.69230506312,3.06569230506312,6,510.94871751052
CE_08_COLOMBINA,10,816.4728469915217,0.8164728469915217,3,272.15761566384055
CE_08_COLOMBINA,11,4155.283691004363,4.155283691004364,4,1038.8209227510908
CE_08_COLOMBINA,12,0.0,0.0,1,0.0
CE_08_COLOMBINA,13,659.4144651154795,0.6594144651154795,2,329.70723255773976
CE_08_COLOMBINA,14,3437.182909496034,3.437182909496034,5,687.4365818992068
CE_08_COLOMBINA,15,1172.528512122648,1.1725285121226479,2,586.264256061324
CE_08_COLOMBINA,16,1692.2237359880164,1.6922237359880163,4,423.0559339970041
CE_08_COLOMBINA,17,18524.117011120125,18.524117011120126,38,487.4767634505296
CE_08_COLOMBINA,18,53376.18649289434,53.37618649289434,77,693.197227180446
CE_08_COLOMBINA,19,44285.20531042301,44.28520531042301,49,903.7797002127145
